words,links,capital_words,spam_word_count,is_spam
636,9,9,6,1
50,9,7,5,1
161,3,3,0,0
767,5,4,6,1
64,2,0,5,0
50,3,26,2,1
965,3,14,8,1
47,0,0,1,0
138,0,3,0,0
962,8,5,5,1
94,0,0,0,0
388,7,1,8,1
250,2,8,1,0
170,2,11,10,1
158,1,3,0,0
278,2,7,7,1
125,1,3,2,0
175,1,3,1,0
188,2,1,2,0
292,0,0,5,0
338,6,25,4,1
284,9,26,0,1
305,2,6,10,1
899,2,21,7,1
685,3,24,10,1
370,1,1,0,0
167,3,29,3,1
610,8,18,3,1
61,8,7,4,1
249,9,4,6,1
535,3,11,3,1
277,1,10,0,0
243,1,5,2,0
515,3,9,1,1
297,4,21,7,1
73,3,1,0,0
162,2,4,0,0
541,7,1,3,1
233,1,2,0,0
79,4,20,3,1
534,7,21,6,1
97,0,3,0,0
80,0,2,6,0
157,0,23,8,1
237,1,0,1,0
758,2,21,3,1
260,1,1,1,0
217,2,10,0,0
78,2,0,1,0
220,2,0,2,0
99,2,16,9,1
809,2,5,6,1
160,0,3,2,0
427,2,2,1,0
412,1,2,2,0
333,2,2,4,0
892,7,3,4,1
78,6,17,6,1
470,2,0,3,0
396,5,7,9,1
536,9,5,10,1
241,2,10,2,0
76,3,5,9,1
161,8,26,9,1
65,6,16,10,1
635,2,9,6,1
129,3,30,1,1
348,6,1,7,1
553,1,6,3,1
217,8,0,10,1
35,0,2,1,0
114,0,0,3,0
225,0,3,6,0
150,1,10,1,0
74,2,0,8,1
455,1,3,0,0
901,3,28,6,1
731,10,3,0,1
237,2,3,6,0
244,2,0,6,0
46,1,5,1,0
689,10,27,9,1
941,9,8,0,1
862,3,2,4,1
25,5,2,1,0
533,2,5,4,1
62,2,27,8,1
369,2,4,6,0
271,1,3,6,0
94,1,2,2,0
394,9,5,5,1
174,1,0,4,1
676,4,9,4,1
269,3,0,2,0
128,1,3,0,0
101,2,3,1,0
96,1,0,2,0
425,1,2,0,0
251,5,5,0,0
269,1,8,0,0
120,0,2,0,0
54,2,0,0,0
799,9,1,8,1
449,5,26,4,1
28,1,2,2,0
80,3,13,6,1
58,0,2,2,0
64,5,9,2,1
107,6,24,0,1
475,4,15,8,1
55,3,26,7,1
186,0,2,1,0
241,2,3,1,0
213,0,4,0,0
179,5,9,9,1
159,1,8,0,0
871,8,6,6,1
56,0,2,1,0
292,0,1,0,0
383,4,15,5,1
156,2,2,1,0
197,1,10,0,0
162,9,21,4,1
245,2,1,2,0
247,5,2,1,0
130,7,2,6,1
97,1,2,0,0
207,0,0,2,0
165,2,3,5,0
176,1,6,2,0
447,1,8,2,0
183,6,22,6,1
322,5,2,1,0
750,2,13,6,1
308,1,3,6,0
140,1,5,4,0
265,0,4,3,0
161,9,17,9,1
794,0,27,6,1
252,2,2,2,0
154,7,21,8,1
202,1,1,2,0
259,8,21,9,1
608,10,8,6,1
681,4,18,10,1
349,10,25,6,1
183,5,24,9,1
96,1,2,6,0
165,1,0,0,0
213,2,10,4,0
140,8,25,7,1
165,1,3,2,0
66,2,29,3,1
971,0,13,3,1
595,3,30,6,1
374,10,30,5,1
91,3,0,5,0
933,3,29,4,1
771,0,12,8,1
201,0,7,2,0
268,2,2,1,0
255,1,2,0,0
715,8,14,7,1
832,6,25,1,1
306,2,7,0,0
39,2,1,0,0
983,2,11,0,1
92,5,27,10,1
983,5,4,7,1
735,7,16,2,1
192,3,13,5,1
347,0,3,1,0
275,8,1,6,1
44,2,2,0,0
949,8,19,9,1
189,0,2,6,0
670,2,13,10,1
381,5,3,2,0
188,1,3,2,0
616,3,8,7,1
79,0,2,0,0
164,2,26,10,1
32,0,3,1,0
162,1,1,3,0
35,2,3,2,0
164,10,16,8,1
191,6,19,8,1
808,5,4,4,1
429,4,21,9,1
782,6,6,8,1
214,0,3,1,0
452,6,12,6,1
129,1,3,4,0
723,8,30,6,1
682,3,13,10,1
62,2,10,1,0
168,3,6,0,1
295,3,1,2,0
155,2,17,5,1
329,3,1,2,0
173,0,9,0,0
293,1,2,1,0
90,2,8,1,0
739,2,23,10,1
194,2,2,4,0
47,1,1,0,0
141,0,12,4,1
26,2,1,2,0
491,3,2,2,0
78,1,3,1,0
360,2,1,5,0
247,10,2,6,1
128,2,1,3,1
366,3,0,5,1
388,5,17,5,1
192,10,23,6,1
262,0,3,0,0
429,9,27,9,1
183,1,23,3,1
155,2,1,1,0
186,2,5,6,1
792,2,18,3,1
187,8,15,6,1
151,3,11,4,1
92,4,5,2,0
281,1,1,2,0
277,1,5,2,0
85,1,3,3,0
178,2,18,5,1
482,6,10,4,1
161,4,8,8,1
56,0,0,5,0
394,8,27,9,1
979,8,28,5,1
142,3,26,9,1
358,1,17,1,1
331,3,8,10,1
166,2,5,4,1
83,2,16,3,1
913,8,3,8,1
133,1,2,2,0
837,7,26,3,1
275,2,26,7,1
445,1,2,1,0
363,1,2,0,0
40,2,8,1,0
341,4,27,3,1
91,5,4,4,1
631,2,30,4,1
199,2,2,0,0
277,9,24,8,1
79,4,25,6,1
909,9,12,7,1
26,3,2,5,0
118,9,13,10,1
177,2,1,1,0
300,2,1,4,0
337,9,25,4,1
111,1,1,1,0
676,5,24,5,1
140,1,3,4,0
178,3,1,0,0
882,7,21,3,1
83,10,23,10,1
60,4,0,0,0
51,0,2,2,0
178,0,0,1,0
356,2,1,8,1
158,9,25,9,1
250,1,3,2,0
466,0,28,9,1
294,2,1,0,0
70,2,5,2,0
128,4,2,5,0
92,1,1,1,0
149,1,0,0,0
291,9,22,6,1
94,1,2,0,0
100,0,2,6,0
551,3,29,6,1
231,9,22,5,1
112,2,6,0,0
247,1,3,0,0
230,0,3,2,0
268,0,0,2,0
626,7,4,4,1
672,6,16,7,1
409,5,16,2,1
695,3,25,10,1
443,1,28,6,1
102,2,0,2,0
180,0,25,10,1
78,2,3,2,0
223,9,30,1,1
714,4,20,9,1
366,2,3,0,0
452,4,20,5,1
244,2,2,2,0
122,8,12,8,1
387,1,3,0,0
91,0,3,0,0
193,10,7,4,1
766,10,11,10,1
176,1,2,1,0
142,2,10,3,1
118,2,6,8,1
496,2,3,0,0
57,1,2,4,0
107,0,1,2,0
252,9,29,3,1
194,1,3,1,0
596,9,29,7,1
238,1,2,1,0
173,1,7,2,1
156,1,0,1,0
26,1,2,1,0
802,2,15,3,1
159,2,6,8,1
181,2,0,2,0
640,4,2,0,1
853,10,18,3,1
216,0,6,6,0
594,6,19,3,1
540,8,0,8,1
741,3,13,10,1
193,0,0,2,0
281,1,4,6,0
274,0,0,1,0
688,8,6,1,1
246,4,1,0,0
928,6,10,9,1
948,8,2,8,1
297,1,8,2,0
328,2,23,3,1
132,0,1,0,0
819,8,14,7,1
290,0,3,6,0
148,3,0,1,0
123,9,2,6,1
206,3,1,1,0
123,3,2,2,0
891,9,28,0,1
91,1,9,5,0
491,0,2,1,0
857,2,25,0,1
573,10,30,3,1
113,0,2,4,0
270,2,3,1,0
158,1,2,2,0
213,7,7,2,1
269,2,3,2,0
308,0,2,2,0
876,7,0,8,1
171,0,3,1,0
162,4,1,4,0
953,8,9,4,1
129,2,1,1,0
232,1,2,2,0
248,0,5,4,0
425,3,13,5,1
69,0,2,2,0
85,6,4,3,1
78,0,1,2,0
40,4,3,0,0
242,4,0,1,0
431,6,15,9,1
127,0,2,2,0
115,8,15,9,1
86,5,27,8,1
64,9,10,6,1
178,2,1,2,0
109,1,5,2,0
382,5,4,9,1
182,2,9,10,1
53,0,0,1,0
129,6,20,1,1
270,2,2,2,0
623,3,15,10,1
216,2,0,0,0
341,4,8,2,0
379,1,0,0,0
428,9,5,2,1
390,7,26,5,1
202,1,1,2,0
217,8,24,2,1
314,7,24,2,1
166,2,7,1,0
403,0,2,0,0
152,2,1,6,0
239,2,26,10,1
168,4,2,1,0
430,7,5,9,1
248,2,1,2,0
35,2,6,4,0
330,1,3,3,1
168,3,21,3,1
43,0,1,1,0
431,1,1,2,0
63,0,17,4,1
294,2,3,3,0
475,5,8,3,1
497,1,8,1,0
546,0,22,7,1
82,1,3,2,0
29,5,5,2,0
352,5,23,4,1
101,1,7,7,1
183,8,13,9,1
171,4,8,2,0
125,0,0,0,0
38,2,6,1,0
296,2,3,1,0
142,1,21,0,1
165,1,10,1,0
680,4,8,0,1
297,2,1,2,0
743,7,19,5,1
567,1,16,4,1
181,0,4,1,0
448,2,10,4,0
118,2,1,0,0
194,2,1,0,0
162,4,25,6,1
265,2,1,2,0
738,7,22,8,1
709,4,0,3,1
364,10,24,8,1
546,10,10,3,1
221,1,0,0,0
115,2,6,0,1
478,0,9,9,1
101,0,1,6,0
76,4,0,2,0
32,2,3,2,0
393,4,6,9,1
422,5,1,0,0
137,2,2,2,0
46,1,0,2,0
178,1,1,1,0
96,1,0,0,0
885,3,14,5,1
118,9,10,5,1
451,2,18,7,1
73,0,3,1,0
588,3,11,6,1
246,9,19,3,1
511,3,26,5,1
832,4,16,1,1
474,1,2,2,0
517,6,19,4,1
101,8,29,7,1
81,0,2,2,0
298,3,22,8,1
103,10,5,7,1
83,1,0,0,0
76,1,15,4,1
190,9,22,8,1
905,4,11,8,1
170,1,2,0,0
231,0,1,2,0
283,0,2,1,0
168,2,7,2,0
170,5,1,0,0
260,0,0,0,0
100,1,0,0,0
70,5,13,6,1
149,1,0,1,0
53,0,2,4,0
317,5,8,4,1
988,6,0,3,1
68,2,2,0,0
162,2,3,1,0
176,2,1,2,0
751,6,1,9,1
215,2,0,1,0
263,1,0,2,0
843,5,8,5,1
109,1,3,0,0
383,4,2,2,0
925,6,5,10,1
224,1,1,3,0
155,1,1,6,0
269,2,3,2,0
933,2,7,3,1
140,0,2,1,0
464,2,3,1,1
459,1,0,2,0
648,7,21,4,1
525,3,20,1,1
468,1,4,1,0
169,0,4,1,0
392,6,28,9,1
279,0,1,0,0
260,2,7,1,0
323,9,20,7,1
359,0,2,2,0
82,2,0,1,0
212,2,0,0,0
66,3,18,8,1
430,8,16,3,1
165,1,1,2,0
122,9,5,9,1
232,0,0,1,0
331,2,2,4,0
145,1,3,2,0
169,2,0,2,0
46,2,1,0,0
359,0,0,0,1
180,1,1,2,0
206,1,1,0,0
265,4,2,0,0
49,1,2,1,0
827,0,26,2,1
60,0,2,1,0
65,2,2,2,0
183,0,2,0,0
316,2,13,8,1
212,5,1,3,0
174,4,0,1,0
22,5,1,0,0
174,0,3,6,0
352,0,1,2,0
32,1,2,0,0
542,2,12,3,1
528,7,5,8,1
438,8,26,8,1
29,4,2,0,0
244,2,1,2,0
145,2,3,0,0
76,1,3,2,0
294,2,3,0,0
548,5,2,10,1
297,2,13,7,1
247,2,4,5,0
649,9,5,9,1
523,2,12,4,1
116,3,30,3,1
126,0,13,10,1
963,5,24,1,1
514,2,11,3,1
281,0,30,4,1
297,10,22,7,1
593,4,20,3,1
24,4,0,5,0
85,0,3,1,0
188,2,24,8,1
21,0,0,5,0
20,1,3,0,0
283,8,30,1,1
218,2,3,1,0
188,9,12,6,1
79,2,3,6,0
101,4,0,5,1
153,0,3,2,0
78,6,21,3,1
433,1,2,2,0
504,3,0,10,1
517,6,6,7,1
216,1,1,2,0
493,2,5,1,0
275,1,0,0,0
190,3,3,2,0
568,4,17,10,1
428,1,0,1,0
614,9,21,4,1
281,2,11,6,1
149,3,30,2,1
79,2,8,5,0
476,8,18,9,1
410,5,22,9,1
223,0,0,0,0
345,2,8,6,1
276,1,7,2,0
456,0,5,1,0
98,2,3,1,0
136,4,16,10,1
273,1,0,2,0
431,9,21,2,1
371,0,4,6,1
677,4,25,3,1
235,0,0,1,0
57,0,1,2,0
128,0,0,0,0
21,0,1,1,0
743,6,7,0,1
283,0,0,1,0
160,1,3,0,0
439,3,27,9,1
88,1,5,1,0
847,4,19,7,1
434,4,8,7,1
26,1,2,3,0
48,0,1,5,0
280,0,2,6,0
328,10,30,10,1
30,0,0,2,0
181,1,4,3,0
283,2,0,3,0
465,4,12,4,1
268,0,2,2,0
237,6,0,5,1
284,2,3,1,0
99,1,0,2,0
239,0,1,2,0
156,2,4,8,1
396,1,15,0,1
118,1,7,0,0
128,2,3,1,0
143,4,5,4,1
197,3,3,2,0
84,3,7,2,0
165,1,2,0,0
184,5,1,2,0
30,2,1,0,0
66,2,0,6,0
233,0,0,1,0
891,8,10,3,1
74,1,1,1,0
141,2,3,0,0
296,2,1,1,0
113,4,1,5,0
644,8,15,4,1
134,0,2,5,0
159,0,23,0,1
997,6,6,7,1
672,5,13,10,1
338,0,0,0,0
160,1,1,0,0
132,1,2,1,0
299,8,0,10,1
159,1,0,2,0
275,1,1,2,0
143,2,1,1,0
642,5,6,6,1
294,5,2,1,0
323,3,25,3,1
888,8,5,6,1
176,4,5,5,1
891,8,5,2,1
660,6,4,7,1
889,2,24,10,1
372,1,2,2,0
638,4,5,9,1
115,4,10,0,0
182,1,0,0,0
106,0,2,1,0
560,1,3,8,1
256,1,1,2,0
260,5,2,2,0
36,2,1,0,0
224,0,3,2,0
764,6,14,10,1
205,1,1,1,0
822,9,20,5,1
279,0,3,1,0
191,1,1,2,0
472,2,1,2,0
303,2,12,9,1
372,8,6,9,1
187,5,23,10,1
204,2,0,2,0
96,7,5,10,1
218,0,1,6,1
977,7,8,4,1
189,0,3,1,0
818,6,7,0,1
300,5,3,6,1
83,2,23,3,1
131,8,10,3,1
353,2,7,5,1
164,1,1,0,0
834,0,9,6,1
140,8,15,5,1
251,1,0,0,0
234,4,29,5,1
345,0,1,1,0
198,1,3,0,0
227,3,1,1,0
209,3,3,3,0
445,2,3,2,0
985,3,10,3,1
383,0,19,4,1
105,2,8,0,0
487,0,2,1,0
731,0,21,3,1
495,0,2,6,0
429,0,3,2,0
299,1,2,0,0
82,3,1,10,1
256,1,3,1,0
131,0,10,4,1
151,9,23,6,1
720,5,12,2,1
103,8,6,10,1
82,6,22,1,1
